,Unnamed: 0,FLT,FLT_next,REG,ITY,NAT,PAX,DES,ORG,start_time,end_time,arrival,towing,departure,stand,f,start,end,CGMS,prev,next,UID,disrupted,prev_stand,prev_start,prev_end
0,0,2Y924,2Y923,PKMYI,B73X,CGO,0.0,SRG,SRG,2019-05-13 00:16:00,2019-05-13 04:40:00,1.0,0.0,1.0,605,0.0,22.0,286.0,308,arr,dpt,0,0,605,22.0,286.0
1,1,3K763,3K763,9VJSQ,A320,PAX,0.0,KIX,,2019-05-13 00:00:00,2019-05-13 02:50:00,1.0,0.0,1.0,C13,0.0,6.0,176.0,C13,arr,dpt,1,0,C13,6.0,176.0
2,2,3K764,3K161,9VJSQ,A320,PAX,0.0,DRW,KIX,2019-05-13 21:25:00,2019-05-13 23:05:00,1.0,0.0,1.0,C16,0.0,1291.0,1391.0,D47,arr,dpt,2,0,C16,1291.0,1391.0
3,3,3K162,3K697,9VJSI,A320,PAX,0.0,HKG,DRW,2019-05-13 09:05:00,2019-05-13 10:00:00,1.0,0.0,1.0,D35,0.0,551.0,606.0,C24,arr,dpt,3,0,D35,551.0,606.0
4,4,3K698,3K551,9VJSI,A320,PAX,0.0,SGN,HKG,2019-05-13 18:40:00,2019-05-13 19:50:00,1.0,0.0,1.0,C24,0.0,1126.0,1196.0,C17L,arr,dpt,4,0,C24,1126.0,1196.0
5,5,3K552,3K201,9VJSL,A320,PAX,0.0,CGK,SGN,2019-05-13 00:40:00,2019-05-13 08:15:00,1.0,0.0,1.0,C22,0.0,46.0,501.0,D35,arr,dpt,5,0,C22,46.0,501.0
6,6,3K202,3K823,9VJSL,A320,PAX,0.0,SWA,CGK,2019-05-13 12:40:00,2019-05-13 13:40:00,1.0,0.0,1.0,C22,0.0,766.0,826.0,D37,arr,dpt,6,0,C22,766.0,826.0
7,7,3K824,3K824,9VJSL,A320,PAX,0.0,,SWA,2019-05-13 23:05:00,2019-05-13 23:59:00,1.0,0.0,0.0,D44,0.0,1391.0,1445.0,D32,arr,tow,7,0,D44,1391.0,1445.0
8,8,3K663,3K663,9VJSS,A320,PAX,0.0,KUL,,2019-05-13 00:00:00,2019-05-13 09:35:00,1.0,0.0,1.0,C17L,0.0,6.0,581.0,D47,arr,dpt,8,0,C17L,6.0,581.0
9,9,3K664,3K203,9VJSS,A320,PAX,0.0,CGK,KUL,2019-05-13 12:30:00,2019-05-13 13:35:00,1.0,0.0,1.0,C18,0.0,756.0,821.0,C17R,arr,dpt,9,0,C18,756.0,821.0
10,10,3K204,3K537,9VJSS,A320,PAX,0.0,HKT,CGK,2019-05-13 18:00:00,2019-05-13 19:50:00,1.0,0.0,1.0,D30,0.0,1086.0,1196.0,C24,arr,dpt,10,0,D30,1086.0,1196.0
11,11,3K240,3K761,9VJSH,A320,PAX,0.0,MNL,DPS,2019-05-13 02:00:00,2019-05-13 06:15:00,1.0,0.0,1.0,C11,0.0,126.0,381.0,C11,arr,dpt,11,0,C11,126.0,381.0
12,12,3K762,3K283,9VJSH,A320,PAX,0.0,KNO,MNL,2019-05-13 14:15:00,2019-05-13 15:15:00,1.0,0.0,1.0,C11,0.0,861.0,921.0,D46,arr,dpt,12,0,C11,861.0,921.0
13,13,3K284,3K205,9VJSH,A320,PAX,0.0,CGK,KNO,2019-05-13 18:55:00,2019-05-13 20:00:00,1.0,0.0,1.0,C18,0.0,1141.0,1206.0,C16,arr,dpt,13,0,C18,1141.0,1206.0
14,14,3K206,3K791,9VJSP,A320,PAX,0.0,OKA,CGK,2019-05-13 00:15:00,2019-05-13 02:00:00,1.0,0.0,1.0,D36,0.0,21.0,126.0,D44,arr,dpt,14,0,D36,21.0,126.0
15,15,3K792,3K245,9VJSP,A320,PAX,0.0,DPS,OKA,2019-05-13 13:10:00,2019-05-13 15:50:00,1.0,0.0,1.0,D36,0.0,796.0,956.0,D36,arr,dpt,15,0,D36,796.0,956.0
16,16,3K246,3K246,9VJSP,A320,PAX,0.0,,DPS,2019-05-13 22:05:00,2019-05-13 23:59:00,1.0,0.0,0.0,D36,0.0,1331.0,1445.0,C11,arr,tow,16,0,D36,1331.0,1445.0
17,17,3K779,3K779,9VJSB,A320,PAX,0.0,CRK,,2019-05-13 00:00:00,2019-05-13 02:20:00,1.0,0.0,1.0,D47,0.0,6.0,146.0,C18,arr,dpt,17,0,D47,6.0,146.0
18,18,3K780,3K241,9VJSB,A320,PAX,0.0,DPS,CRK,2019-05-13 10:20:00,2019-05-13 10:55:00,1.0,0.0,1.0,D30,0.0,626.0,661.0,D35,arr,dpt,18,0,D30,626.0,661.0
19,19,3K242,3K513,9VJSB,A320,PAX,0.0,BKK,DPS,2019-05-13 17:10:00,2019-05-13 19:15:00,1.0,0.0,1.0,D36,0.0,1036.0,1161.0,D48,arr,dpt,19,0,D36,1036.0,1161.0
20,20,3K281,3K281,9VJSK,A320,PAX,0.0,KNO,,2019-05-13 00:00:00,2019-05-13 08:15:00,1.0,0.0,1.0,C16,0.0,6.0,501.0,D38,arr,dpt,20,0,C16,6.0,501.0
21,21,3K248,3K775,9VJSK,A320,PAX,0.0,CRK,SUB,2019-05-13 16:40:00,2019-05-13 20:00:00,1.0,0.0,1.0,D40L,0.0,1006.0,1206.0,C11,arr,dpt,21,0,D40L,1006.0,1206.0
22,22,3K514,3K511,9VJSA,A320,PAX,0.0,BKK,BKK,2019-05-13 00:45:00,2019-05-13 07:20:00,1.0,0.0,1.0,C15,0.0,51.0,446.0,C15,arr,dpt,22,0,C15,51.0,446.0
23,23,3K512,3K557,9VJSA,A320,PAX,0.0,SGN,BKK,2019-05-13 12:50:00,2019-05-13 13:45:00,1.0,0.0,1.0,D44,0.0,776.0,831.0,C22,arr,dpt,23,0,D44,776.0,831.0
24,24,3K558,3K687,9VJSA,A320,PAX,0.0,KUL,SGN,2019-05-13 18:30:00,2019-05-13 19:35:00,1.0,0.0,1.0,D37,0.0,1116.0,1181.0,C17R,arr,dpt,24,0,D37,1116.0,1181.0
25,25,3K688,3K688,9VJSA,A320,PAX,0.0,,KUL,2019-05-13 22:30:00,2019-05-13 23:59:00,1.0,0.0,0.0,D47,0.0,1356.0,1445.0,D35,arr,tow,25,0,D47,1356.0,1445.0
26,26,3K683,3K683,9VJSM,A320,PAX,0.0,KUL,,2019-05-13 00:00:00,2019-05-13 07:05:00,1.0,0.0,1.0,C19,0.0,6.0,431.0,D44,arr,dpt,26,0,C19,6.0,431.0
27,27,3K684,3K515,9VJSM,A320,PAX,0.0,BKK,KUL,2019-05-13 10:00:00,2019-05-13 10:45:00,1.0,0.0,1.0,C26,0.0,606.0,651.0,C11,arr,dpt,27,0,C26,606.0,651.0
28,28,3K516,3K535,9VJSM,A320,PAX,0.0,HKT,BKK,2019-05-13 16:15:00,2019-05-13 17:15:00,1.0,0.0,1.0,D30,0.0,981.0,1041.0,D47,arr,dpt,28,0,D30,981.0,1041.0
