,FLT,FLT_next,REG,ITY,NAT,PAX,DES,ORG,start_time,end_time,arrival,towing,departure,stand,f,start,end,CGMS,prev,next,UID,disrupted,prev_stand,prev_start,prev_end
330,SL100,SL101,HSLTJ,B739,PAX,0.0,DMK,DMK,2019-05-13 11:20:00,2019-05-13 12:20:00,1.0,0.0,1.0,A19,0.0,714.0,774.0,A19,arr,dpt,330,0,A19,714.0,774.0
331,SL104,SL105,HSLTU,B739,PAX,0.0,DMK,DMK,2019-05-13 19:30:00,2019-05-13 20:30:00,1.0,0.0,1.0,A12,0.0,1204.0,1264.0,A13,arr,dpt,331,0,A12,1204.0,1264.0
332,SQ001,SQ866,9VSNB,B77W,PAX,0.0,HKG,SFO,2019-05-13 11:50:00,2019-05-13 13:05:00,1.0,0.0,1.0,A10,1.0,744.0,819.0,A4,arr,dpt,332,0,A10,744.0,819.0
333,SQ865,SQ865,9VSNB,B77W,PAX,0.0,,HKG,2019-05-13 22:40:00,2019-05-13 23:59:00,1.0,0.0,0.0,A12,1.0,1394.0,1473.0,A13,arr,tow,333,0,A12,1394.0,1473.0
334,SQ319,SQ002,9VSWV,B77W,PAX,0.0,SFO,LHR,2019-05-13 16:55:00,2019-05-13 18:30:00,1.0,0.0,1.0,B5,1.0,1049.0,1144.0,A11,arr,dpt,334,0,B5,1049.0,1144.0
335,SQ011,SQ241,9VSWU,B77W,PAX,0.0,SYD,LAX,2019-05-13 02:10:00,2019-05-13 07:10:00,1.0,0.0,1.0,A10,1.0,164.0,464.0,A5,arr,dpt,335,0,A10,164.0,464.0
336,SQ495,SQ012,9VSWW,B77W,PAX,0.0,LAX,DXB,2019-05-13 07:30:00,2019-05-13 09:25:00,1.0,0.0,1.0,B9,1.0,484.0,599.0,B8,arr,dpt,336,0,B9,484.0,599.0
337,SQ021,SQ021,9VSGA,A359,PAX,0.0,,EWR,2019-05-13 17:10:00,2019-05-13 23:59:00,1.0,1.0,0.0,466,1.0,1064.0,1473.0,A3,arr,tow,337,0,466,1064.0,1473.0
338,SQ037,SQ022,9VSGB,A359,PAX,0.0,EWR,LAX,2019-05-13 08:15:00,2019-05-13 23:35:00,1.0,0.0,1.0,A17,1.0,529.0,1449.0,B10,arr,dpt,338,0,A17,529.0,1449.0
339,SQ025,SQ025,9VSKR,A388,PAX,0.0,,JFK,2019-05-13 06:50:00,2019-05-13 23:59:00,1.0,1.0,0.0,463,1.0,444.0,1473.0,A2,arr,tow,339,0,463,444.0,1473.0
340,SQ232,SQ026,9VSKN,A388,PAX,0.0,JFK,SYD,2019-05-13 17:30:00,2019-05-13 23:55:00,1.0,0.0,1.0,A4,1.0,1084.0,1469.0,B2,arr,dpt,340,0,A4,1084.0,1469.0
341,SQ031,SQ031,9VSMQ,A359,PAX,0.0,,SFO,2019-05-13 19:10:00,2019-05-13 23:59:00,1.0,1.0,0.0,401,1.0,1184.0,1473.0,F31,arr,tow,341,0,401,1184.0,1473.0
342,SQ032,SQ032,9VSMN,A359,PAX,0.0,SFO,,2019-05-13 00:00:00,2019-05-13 09:25:00,1.0,0.0,1.0,A3,1.0,34.0,599.0,C20,arr,dpt,342,0,A3,34.0,599.0
343,SQ035,SQ035,9VSGC,A359,PAX,0.0,,LAX,2019-05-13 19:10:00,2019-05-13 23:59:00,1.0,1.0,0.0,300,1.0,1184.0,1473.0,E12,arr,tow,343,0,300,1184.0,1473.0
344,SQ038,SQ038,9VSGD,A359,PAX,0.0,LAX,,2019-05-13 00:00:00,2019-05-13 18:55:00,1.0,0.0,0.0,302,1.0,34.0,1169.0,C20,arr,tow,344,0,302,34.0,1169.0
345,SQ038,SQ038,9VSGD,A359,PAX,0.0,LAX,,2019-05-13 18:55:00,2019-05-13 20:55:00,0.0,0.0,1.0,B10,1.0,1169.0,1289.0,C20,tow,dpt,345,0,B10,1169.0,1289.0
